teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,teamTotalNum,出场次数,leagueEventId,leagueEvent,seasonId,season,year,pctPlaytypeRank,teamPppRank,teamEfgPctRank,teamPctRfgaRank,teamPctMfgaRank,teamPctThfgaRank,teamPctTovRank,teamPctFtRank,oppPctPlaytypeRank,oppPppRank,oppEfgPctRank,oppPctRfgaRank,oppPctMfgaRank,oppPctThfgaRank,oppPctTovRank,oppPctFtRank,时间段,_group
1003320449,北京大学,6,,Cut,0.086,0.75,8,2,2,0,4,0,4,0,0,0,0.333333,0.3333,0.6667,0,1,0.125,1,0.125,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,awayTeamPlaytype
1003320449,北京大学,0,,P&R-Roll-Man,0.0215,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,awayTeamPlaytype
1003320449,北京大学,4,,Put-Backs,0.043,1,4,3,1,2,0,0,0,0,0,0,0.333333,1,0,0,0,0,1,0.25,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,awayTeamPlaytype
1003320449,北京大学,4,,Miscellaneous,0.086,0.5,8,1,0,1,1,0,1,0,0,0,0,0.5,0.5,0,2,0.25,4,0.5,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,全场,awayTeamPlaytype
1003320452,北京师范大学,4,,Transition,0.15,1.3333,3,1,1,0,2,1,1,0,0,0,0.666667,0.3333,0.6667,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
1003320452,北京师范大学,0,,P&R-Ball-Handler,0.05,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
1003320452,北京师范大学,4,,Isolation,0.25,0.8,5,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0.2,2,0.4,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
1003320452,北京师范大学,2,,Spot-Up,0.15,0.6667,3,0,0,0,1,1,0,1,0,1,0.5,0,0.5,0.5,1,0.3333,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
1003320452,北京师范大学,2,,Off-Screen,0.05,2,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
1003320452,北京师范大学,0,,Hand-Off,0.05,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,20005,CUBAL一级联赛,200406,2024-25,2024,,,,,,,,,,,,,,,,,Q1,homeTeamPlaytype
