上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,number,playerId,playerName,playerNameEn,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,gameStart,teamId,teamName,该打法占比,时间段
,,,Spot-Up,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,全场
,,,Off-Screen,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0526,全场
,,,Off-Screen,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1,全场
,,,Off-Screen,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0833,全场
,,,Off-Screen,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0667,全场
,,,Off-Screen,0,0,3,0,0,0,1,0,1,2,0,2,0,0,0,0.3333,0.6667,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1111,全场
,,,Off-Screen,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,全场
,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0769,全场
,,,Hand-Off,1,0.5,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0741,全场
,,,Hand-Off,6,1.5,4,1,1,0,0,0,0,1,1,0,1,1.25,0.5,0,0.5,0.25,1,0.25,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,全场
,,,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,全场
,,,Hand-Off,1,0.3333,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3333,1,0.3333,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,全场
,,,Hand-Off,3,1,3,0,0,0,0,0,0,2,1,1,1,0.75,0,0,1,0.3333,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.15,全场
,,,Hand-Off,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,全场
,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,93035,李瑜婧,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,全场
,,,Cut,2,0.6667,3,0,0,0,2,1,1,0,0,0,1,0.5,0,1,0,0.3333,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1111,全场
,,,Cut,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.05,全场
,,,Cut,7,1.4,5,1,1,0,1,1,0,0,0,0,1,1,0.5,0.5,0,0.2,2,0.4,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.625,全场
,,,Cut,4,2,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0.5,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,全场
,,,Cut,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2857,全场
,,,Cut,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2857,全场
,,,Cut,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,30230,安恒瑶,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,全场
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0833,全场
,,,Cut,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,76061,赵婧涵,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,全场
,,,Cut,4,1,4,2,2,0,2,0,2,0,0,0,0,0.5,0.5,0.5,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3077,全场
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0833,全场
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1111,全场
,,,Cut,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1053,全场
,,,Put-Backs,6,2,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.4286,全场
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0667,全场
,,,Put-Backs,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,30230,安恒瑶,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,全场
,,,Put-Backs,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,31,32012,李若莹,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,全场
,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0769,全场
,,,Put-Backs,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1111,全场
,,,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.05,全场
,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.125,全场
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0526,全场
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.037,全场
,,,Put-Backs,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,全场
,,,Put-Backs,2,1,2,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1667,全场
,,,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,全场
,,,Put-Backs,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,76061,赵婧涵,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,全场
,,,Miscellaneous,2,1,2,1,1,0,0,0,0,1,0,1,0,0.5,0.5,0,0.5,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1,全场
,,,Miscellaneous,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1111,全场
,,,Miscellaneous,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.125,全场
,,,Miscellaneous,0,0,3,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0.6667,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1579,全场
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0769,全场
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,全场
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.0667,全场
,,,Miscellaneous,2,0.5,4,0,0,0,2,1,1,0,0,0,2,0.5,0,1,0,0.5,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1481,全场
,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,Q1
,,,Transition,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,93035,李瑜婧,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,Q1
,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.5,Q1
,,,Transition,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,Transition,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,1,Q1
,,,Transition,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,Q1
,,,P&R-Ball-Handler,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,Q1
,,,P&R-Ball-Handler,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.5,Q1
,,,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,P&R-Ball-Handler,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,Q1
,,,P&R-Ball-Handler,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,Q1
,,,Isolation,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,Q1
,,,Post-Up,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,Q1
,,,Post-Up,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,Spot-Up,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,Q1
,,,Spot-Up,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,30097,钱媛媛,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,Q1
,,,Spot-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1667,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,15,88706,孙楷文,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,1,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1,Q1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,21,93035,李瑜婧,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,Q1
,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1667,Q1
,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1,Q1
,,,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,Q1
,,,Hand-Off,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,Q1
